French,English
partie,part
chercher,search
police,police
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
côté,side
pouvoir,power
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
pardon,sorry
venez,come
devant,in front of
minutes,minutes
droit,law
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
plutôt,rather
filles,girls
jouer,to play
